シリーズ,カード番号,カード名,レアリティ,カテゴリー,ブランド,星座、ロマンス,キャラ,画像
第5弾,05-46,レトロポップラウンドパンプス,ノーマル,シューズ,,,有栖川おとめ,
第5弾,05-47,スマイルワンピース,ノーマル,トップス&ボトムス,MAGICAL TOY,,有栖川おとめ,
第5弾,05-48,エンジェリーベアリボン,ノーマル,アクセサリー,,,星宮いちご,
第5弾,05-49,フラワーピルエットコサージュ,ノーマル,アクセサリー,,,北大路さくら,
第5弾,05-50,カレイドスコープアクセサリー,レア,アクセサリー,,,霧矢あおい,
第5弾,05-51,パーティームーンアクセ,ノーマル,アクセサリー,,,神崎美月,
第5弾,05-52,ピエロカーニバルミニハット,レア,アクセサリー,,,一ノ瀬かえで,
第5弾,05-CP01,サンシャインワンピース,キャンペーンレア,トップス&ボトムス,,,,
第5弾,05-CP02,サンライズワンピース,キャンペーンレア,トップス&ボトムス,,,,
第5弾,05-CP03,サンセットワンピース,キャンペーンレア,トップス&ボトムス,,,,
第5弾,05-CP04,サニーブーツ,キャンペーンレア,シューズ,,,,
第5弾,05-CP05,サニーカチューシャ,キャンペーンレア,アクセサリー,,,,
第5弾,05-CP06,マゼンダトリオワンピ,キャンペーンレア,トップス&ボトムス,,,,
第5弾,05-CP07,シアントリオワンピ,キャンペーンレア,トップス&ボトムス,,,,
第5弾,05-CP08,イエロートリオワンピ,キャンペーンレア,トップス&ボトムス,,,,
第5弾,05-CP09,トライスターハイヒール,キャンペーンレア,シューズ,,,,
第5弾,05-CP10,トライスターヘアコサージュ,キャンペーンレア,アクセサリー,,,,
第6弾,06-01,スターフェスティバルトップス,プレミアムレア,トップス,Angely Sugar,,星宮いちご,
第6弾,06-02,ローズガーデンレーシートップス,レア,トップス,Angely Sugar,,星宮いちご,
第6弾,06-03,クラシカルワルツトップス,ノーマル,トップス,Aurora Fantasy,,北大路さくら,
第6弾,06-04,コサージュ付ピンクレースTシャツ,ノーマル,トップス,,,北大路さくら,
第6弾,06-05,スターフェスティバルスカート,プレミアムレア,ボトムス,Angely Sugar,,星宮いちご,
第6弾,06-06,ローズガーデンスカート,レア,ボトムス,Angely Sugar,,星宮いちご,
第6弾,06-07,クラシカルワルツスカート,ノーマル,ボトムス,Aurora Fantasy,,北大路さくら,
第6弾,06-08,ラベンダーショートパンツ,ノーマル,ボトムス,,,星宮いちご,
第6弾,06-09,スターフェスティバルサンダル,プレミアムレア,シューズ,Angely Sugar,,星宮いちご,
第6弾,06-10,レースアップキャメルブーツ,レア,シューズ,Angely Sugar,,星宮いちご,
第6弾,06-11,クラシカルワルツパンプス,ノーマル,シューズ,Aurora Fantasy,,北大路さくら,
第6弾,06-12,ストライプウェッジソール,ノーマル,シューズ,,,北大路さくら,
第6弾,06-13,アリスファンタジーワンピ,レア,トップス&ボトムス,Aurora Fantasy,,星宮いちご,
第6弾,06-14,ハイポリストップス,レア,トップス,FUTURING GIRL,,霧矢あおい,
第6弾,06-15,アクアパティシエブラウス,ノーマル,トップス,LoLi GoThiC,,藤堂ユリカ,
第6弾,06-16,サファイアチューブトップ,ノーマル,トップス,,,藤堂ユリカ,
第6弾,06-17,ハイポリスパンツ,レア,ボトムス,FUTURING GIRL,,霧矢あおい,
第6弾,06-18,アクアパティシエスカート,ノーマル,ボトムス,LoLi GoThiC,,藤堂ユリカ,
第6弾,06-19,マリンデニムスカート,ノーマル,ボトムス,,,霧矢あおい,
第6弾,06-20,ハイポリスブーツ,レア,シューズ,FUTURING GIRL,,霧矢あおい,
第6弾,06-21,マリンパティシエシューズ,ノーマル,シューズ,LoLi GoThiC,,藤堂ユリカ,
第6弾,06-22,折り返しブラックブーツ,ノーマル,シューズ,,,藤堂ユリカ,
第6弾,06-23,ボンボヤージュワンピ,ノーマル,トップス&ボトムス,FUTURING GIRL,,霧矢あおい,
第6弾,06-24,ロイヤルムーンオフショルダー,プレミアムレア,トップス,LOVE QUEEN,,神崎美月,
第6弾,06-25,シェエラザードワンショルダー,レア,トップス,LOVE QUEEN,,神崎美月,
第6弾,06-26,ビッグフラワープリントTシャツ,ノーマル,トップス,,,紫吹蘭,
第6弾,06-27,ミヤミリタリーチューブトップ,ノーマル,トップス,SPICY AGEHA,,星宮りんご,
第6弾,06-28,レオパードフリルキャミ,ノーマル,トップス,SPICY AGEHA,,神崎美月,
第6弾,06-29,ロイヤルムーンスカート,プレミアムレア,ボトムス,LOVE QUEEN,,神崎美月,
第6弾,06-30,シェエラザードバルーンスカート,レア,ボトムス,LOVE QUEEN,,神崎美月,
第6弾,06-31,ブラックレーシーショーパン,ノーマル,ボトムス,,,紫吹蘭,
第6弾,06-32,ミヤミリタリースカート,ノーマル,ボトムス,SPICY AGEHA,,星宮りんご,
第6弾,06-33,ボルドータイトミニスカート,ノーマル,ボトムス,SPICY AGEHA,,神崎美月,
第6弾,06-34,ロイヤルムーンサンダル,プレミアムレア,シューズ,LOVE QUEEN,,神崎美月,
第6弾,06-35,シェエラザードミュール,レア,シューズ,LOVE QUEEN,,神崎美月,
第6弾,06-36,レッドペディゴールドサンダル,ノーマル,シューズ,SPICY AGEHA,,紫吹蘭,
第6弾,06-37,ミヤキッシーズサンダル,ノーマル,シューズ,SPICY AGEHA,,星宮りんご,
第6弾,06-38,マーメイドジュエルワンピ,レア,トップス&ボトムス,LOVE QUEEN,,神崎美月,
第6弾,06-39,ポニーランドブラウス,レア,トップス,MAGICAL TOY,,一ノ瀬かえで,
第6弾,06-40,チアーズトップス,ノーマル,トップス,HAPPY RAINBOW,,有栖川おとめ,
第6弾,06-41,キャンディプリントラグランTシャツ,ノーマル,トップス,,,有栖川おとめ,
第6弾,06-42,ポニーランドスカート,レア,ボトムス,MAGICAL TOY,,一ノ瀬かえで,
第6弾,06-43,チアーズスカート,ノーマル,ボトムス,HAPPY RAINBOW,,有栖川おとめ,
第6弾,06-44,サンフラワースカート,ノーマル,ボトムス,,,一ノ瀬かえで,
第6弾,06-45,ポニーランドスリッポン,レア,シューズ,MAGICAL TOY,,一ノ瀬かえで,
第6弾,06-46,チアーズスニーカー,ノーマル,シューズ,HAPPY RAINBOW,,有栖川おとめ,
第6弾,06-47,サンフラワーサンダル,ノーマル,シューズ,,,有栖川おとめ,
第6弾,06-48,レトロフラワージャンパースカート,ノーマル,トップス&ボトムス,MAGICAL TOY,,一ノ瀬かえで,
第6弾,06-49,スターライトティアラ,レア,アクセサリー,,,星宮いちご,
第6弾,06-50,ハイポリスリボンカチューシャ,レア,アクセサリー,,,霧矢あおい,
第6弾,06-51,ロイヤルムーンクラウン,レア,アクセサリー,,,神崎美月,
第6弾,06-52,バルーンランドカチューシャ,レア,アクセサリー,,,一ノ瀬かえで,
第6弾,06-CP01,ピンクスタージャケット,キャンペーンレア,トップス,,,星宮いちご,
第6弾,06-CP02,ブルースタージャケット,キャンペーンレア,トップス,,,霧矢あおい,
第6弾,06-CP03,パープルスタージャケット,キャンペーンレア,トップス,,,紫吹蘭,
第6弾,06-CP04,イエロースターシャツ,キャンペーンレア,トップス,,,有栖川おとめ,
第6弾,06-CP05,グリーンスターブラウス,キャンペーンレア,トップス,,,藤堂ユリカ,
第6弾,06-CP06,ライムスタートップス,キャンペーンレア,トップス,,,北大路さくら,
第6弾,06-CP07,オレンジスターベスト,キャンペーンレア,トップス,,,一ノ瀬かえで,
第6弾,06-CP08,レッドスターコルセット,キャンペーンレア,トップス,,,神崎美月,
第6弾,06-CP09,スターライトスカート,キャンペーンレア,ボトムス,,,霧矢あおい,
第6弾,06-CP10,スターライトブーツ,キャンペーンレア,シューズ,,,紫吹蘭,
第6弾,06-CP11,スターライトカチューシャ,キャンペーンレア,アクセサリー,,,星宮いちご,
